ФИО,Группа крови,Любимая еда,Наличие публикаций,Наличие золотой медали,Участие в олимпиадах НИУ ВШЭ,Мотивационное письмо,Мечта,Участие в подготовительных курсах НИУ ВШЭ,Частота прогулок,Участие во всероссийских олимпиадах,Хобби,Средний балл ЕГЭ,Участие в волонтерской деятельности,Средний балл аттестата,Любимый цвет,Наличие питомца,Target
Козлова Валерия Константиновна,II,Бургер,Да,-,Нет,5,Семья,Да,Редко,Да,Кино,77,Нет,4.944864648348987,Желтый,Да,1
Романова Татьяна Сергеевна,I,Суши,Да,Да,Нет,3,Наука,Нет,Редко,Да,Кино,81,Нет,4.057958104609917,Зеленый,Нет,1
Соловьева Надежда Юрьевна,III,Бургер,-,Да,Нет,0,Семья,Нет,Несколько раз в неделю,Да,Туризм,87,Нет,4.775387060885782,Желтый,Нет,1
Смирнов Сергей Сергеевич,II,Бургер,Да,Нет,Нет,5,Семья,Да,Ежедневно,Нет,Туризм,98,Да,4.203000412535561,Черный,Нет,0
Михайлова Дарья Алексеевна,I,Пицца,Нет,-,Да,0,Бизнес,Нет,Ежедневно,Нет,Чтение,84,Нет,4.3970156257525455,Синий,Да,0
Зайцева Светлана Алексеевна,IV,Роллы,Да,Нет,Да,4,Наука,Нет,Редко,Нет,Спортивные игры,99,Нет,4.53689661465055,Черный,Да,1
Соколова Полина Олеговна,II,Суши,Нет,Нет,Да,1,Семья,Нет,Несколько раз в неделю,Да,Туризм,79,Да,4.578139506407216,Красный,Нет,1
Григорьев Вячеслав Дмитриевич,III,Пицца,Нет,Да,Нет,3,Наука,Нет,Редко,Нет,Спортивные игры,98,Нет,4.973224336993088,Желтый,Да,0
Федоров Роман Егорович,IV,Пицца,Нет,Нет,Нет,0,Бизнес,Да,Несколько раз в неделю,Нет,Туризм,56,-,4.930751761137019,Синий,Нет,0
Зайцев Иван Сергеевич,I,Бургер,Нет,Нет,Нет,2,Семья,Нет,Несколько раз в неделю,Да,Кино,53,Нет,4.825124805831394,Синий,Да,0
Кузнецов Сергей Артурович,III,Бургер,Нет,Да,Да,4,Семья,Нет,Ежедневно,Нет,Музыка,44,Да,4.180929709905445,Желтый,Нет,0
Кузнецова Алиса Андреевна,IV,Роллы,-,Нет,Да,3,Бизнес,Нет,Ежедневно,Да,Чтение,43,Нет,4.6647974693512975,Красный,Нет,0
Соколов Артур Вячеславович,IV,Бургер,Да,Нет,Да,0,Наука,Да,Несколько раз в неделю,Да,Кино,74,Да,4.101041545296863,Желтый,Да,1
Смирнова Ксения Георгиевна,III,Салат,Да,Да,Да,1,Бизнес,Да,Ежедневно,Нет,Чтение,77,Да,4.779014537766539,Зеленый,Да,1
Иванов Владимир Павлович,II,Роллы,Да,Да,Да,4,Семья,Нет,Редко,Да,Кино,79,-,4.934341815430896,Черный,Да,1
Кузнецова Зоя Викторовна,IV,Пицца,Да,Да,Нет,2,Карьерный рост,-,Ежедневно,Нет,Чтение,93,Нет,4.214852827008894,Синий,Нет,0
Зайцева Ксения Ильинична,II,Бургер,Да,Да,Нет,2,Путешествия,Нет,Редко,Да,Кино,63,Да,4.30367560122432,Черный,Нет,1
Петров Максим Константинович,IV,Пицца,Да,Да,Нет,3,Путешествия,Да,Ежедневно,Да,Чтение,63,Да,4.805988247716766,Красный,Нет,1
Попов Олег Сергеевич,IV,Салат,Нет,Нет,Нет,5,Бизнес,Нет,Редко,Да,Кино,76,Да,4.246227582406926,Синий,Нет,0
Смирнов Егор Олегович,I,Роллы,Нет,Нет,Нет,5,Путешествия,Нет,Несколько раз в неделю,Нет,Кино,46,Нет,4.178333409809126,Зеленый,Нет,0
Григорьева Елена Георгиевна,II,Роллы,-,Да,Нет,2,Бизнес,Да,Ежедневно,Да,Кино,59,Нет,4.774140615457704,Синий,Нет,0
Романов Вячеслав Дмитриевич,I,Бургер,Да,Да,Нет,4,Бизнес,-,Ежедневно,Да,Музыка,79,Нет,4.0802813066918535,Красный,Да,1
Васильева Екатерина Антоновна,IV,Салат,Да,Нет,Нет,2,Бизнес,Нет,Ежедневно,Да,Спортивные игры,84,Да,4.233653964062992,Желтый,Нет,0
Козлов Алексей Егорович,I,Бургер,Нет,Да,Да,5,Карьерный рост,Да,Редко,Нет,Музыка,53,Да,4.852097588337055,Желтый,Нет,1
Григорьева Ирина Сергеевна,III,Суши,Нет,Да,Нет,3,Путешествия,Да,Редко,Нет,Музыка,80,Нет,4.394535270333822,Зеленый,Нет,0
Попов Константин Вячеславович,III,Пицца,Нет,Да,-,5,Семья,Нет,Несколько раз в неделю,Нет,Спортивные игры,90,Нет,4.29394322128105,Зеленый,Да,0
Зайцева Елена Павловна,III,Суши,Нет,Нет,Нет,3,Наука,Нет,Ежедневно,Да,Туризм,47,Да,4.865692691166709,Желтый,Нет,0
Романова Ирина Максимовна,III,Бургер,Нет,Нет,-,2,Бизнес,Да,Несколько раз в неделю,Нет,Туризм,66,Да,4.636949325349985,Красный,Да,0
Морозова Зоя Павловна,II,Роллы,Нет,Да,Нет,3,Наука,Нет,Редко,-,Туризм,63,Нет,4.765887930965465,Черный,Да,0
Борисова Валерия Алексеевна,II,Салат,Нет,Нет,Нет,5,Путешествия,Нет,Редко,Да,Чтение,86,Нет,4.092237310059561,Красный,Да,0
Соловьев Вячеслав Антонович,I,Салат,Нет,Да,Нет,4,Наука,Нет,Несколько раз в неделю,Нет,Туризм,80,Нет,4.731125709988032,Желтый,Да,0
Волков Вячеслав Сергеевич,III,Бургер,Да,Нет,Нет,3,Путешествия,-,Несколько раз в неделю,Да,Спортивные игры,87,Нет,4.328580260722191,Синий,Нет,1
Васильев Сергей Николаевич,IV,Роллы,Нет,Нет,Да,4,Наука,Да,Несколько раз в неделю,-,Кино,54,-,4.125564844412728,Желтый,Нет,1
Волкова Ксения Константиновна,IV,Суши,Да,Да,Да,5,Путешествия,Нет,Ежедневно,-,Спортивные игры,49,Да,4.546529935308857,Черный,Да,1
Романова Мария Олеговна,III,Салат,Нет,-,Нет,3,Семья,Нет,Редко,Нет,Кино,71,Нет,4.276661148976475,Синий,Нет,0
Федорова Елена Юрьевна,III,Бургер,Да,Да,Нет,0,Семья,Да,Несколько раз в неделю,Да,Кино,44,Нет,4.316280804266881,Желтый,Да,0
Соколов Константин Викторович,II,Салат,-,Да,-,2,Бизнес,Нет,Несколько раз в неделю,Нет,Чтение,43,Нет,4.635988358176856,Желтый,Нет,0
Новикова Анастасия Николаевна,II,Салат,Нет,Нет,Да,0,Наука,Да,Ежедневно,Нет,Чтение,73,Да,4.115234319817812,Черный,Нет,0
Лебедева Дарья Алексеевна,I,Суши,Да,Нет,Да,3,Семья,Да,Редко,Нет,Музыка,71,Да,4.76564703398647,Красный,Нет,1
Сидоров Виктор Артурович,II,Суши,Да,Да,Нет,2,Карьерный рост,Нет,Редко,Да,Туризм,63,Нет,4.446001196975513,Черный,Нет,0
Попова Полина Романовна,I,Роллы,Нет,Нет,Нет,5,Наука,Нет,Несколько раз в неделю,Нет,Кино,71,Да,4.06133856579636,Зеленый,Нет,0
Васильева Зоя Вячеславовна,II,Суши,Нет,Нет,Да,2,Бизнес,Нет,Редко,Нет,Туризм,94,Да,4.10126530191531,Синий,Да,0
Петров Артур Антонович,IV,Пицца,Нет,Нет,Да,0,Бизнес,-,Редко,Нет,Кино,61,-,4.061968370103695,Синий,Да,0
Лебедев Олег Иванович,III,Пицца,Нет,Да,Да,1,Бизнес,Нет,Несколько раз в неделю,Да,Чтение,57,Да,4.893520361265564,Красный,Нет,1
Васильева Алиса Андреевна,IV,Салат,Да,Да,Нет,4,Путешествия,Да,Редко,Нет,Кино,88,Нет,4.036768364256,Желтый,Нет,0
Зайцева Валерия Георгиевна,IV,Бургер,Да,Да,Да,4,Путешествия,Нет,Ежедневно,Да,Спортивные игры,51,Да,4.7145270594230855,Черный,Да,1
Соколова Зоя Максимовна,IV,Пицца,Да,-,Нет,2,Путешествия,-,Несколько раз в неделю,Нет,Туризм,57,Да,4.649162280138682,Синий,Да,0
Лебедев Константин Юрьевич,IV,Салат,Да,Да,Нет,4,Бизнес,Да,Несколько раз в неделю,Нет,Музыка,49,Нет,4.848236712780723,Синий,Да,0
Новиков Олег Константинович,IV,Роллы,Да,Нет,Да,3,Наука,Нет,Редко,Нет,Спортивные игры,74,Да,4.962642287188088,Зеленый,Да,1
Лебедева Ирина Владимировна,I,Бургер,Нет,-,Да,5,Семья,-,Ежедневно,Нет,Туризм,68,Да,4.595720413908403,Черный,Нет,1
